"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)"
"DELIVERED","150003921805_1","2022-08-20","Up ","FIVESTAR Beautiful Designer Women Gorgette Plazo with Banglory silk Blouse and Gorgette duppata","5425 pink","Semi Stitched","1","1599.0","1599.0"
"CANCELLED","918609782308_1","2022-08-20","Haryana"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"DELIVERED","145765249861_1","2022-08-21","Maharashtra","FIVESTAR Designer Women Suit On havy Organza silk febric with Thred with Sequnce work and pent on also organza silk febric with inner and Dupatta also on organza silk febric with Thred work and less work","1091","Free Size","1","1399.0","1399.0"
"CANCELLED","523165022965_1","2022-08-21","Tamil Nadu"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"DELIVERED","236795271202_1","2022-08-21","Others"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"RTO_COMPLETE","704133639877_1","2022-08-21","Kerala","Beautiful maska cotton kurta set with muslin cotton duppata and pant","Kb 196 b","L","1","1400.0","1400.0"
"DELIVERED","643537959075_1","2022-08-21","Punjab"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk avdh","Free Size","1","1350.0","1350.0"
"CANCELLED","887032986289_1","2022-08-21","Punjab"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk avdh","Free Size","1","1350.0","1350.0"
"CANCELLED","121951310020_1","2022-08-21","Jammu & Kashmir","FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work","5400 white","Semi Stitched","1","1999.0","1999.0"
"DELIVERED","402972493507_1","2022-08-21","Telangana"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"DELIVERED","555207008312_1","2022-08-21","Gujarat","top & bottom set","akshar 1090","M","1","1400.0","1400.0"
"CANCELLED","270994880886_1","2022-08-22","Haryana","FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work","5400 skyblue","Semi Stitched","1","1999.0","1999.0"
"DELIVERED","437167650973_1","2022-08-22","Odisha","Dupatta Sets","Hk1436","XXL","1","1400.0","1400.0"
"DELIVERED","458878633167_1","2022-08-22","Punjab","FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata","6320","Semi Stitched","1","1949.0","1949.0"
"DELIVERED","261601009640_1","2022-08-22","Odisha","top & bottom set","akshar 1090","L","1","1400.0","1400.0"
"CANCELLED","453722335864_1","2022-08-22","Chhattisgarh","Beautiful maska cotton kurta set with muslin cotton duppata and pant","Kb 196 b","M","1","1400.0","1400.0"
"RTO_COMPLETE","296540364861_1","2022-08-22","seoni"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1311.0","1311.0"
"DELIVERED","189410351427_1","2022-08-22","Maharashtra","Kurta Sets ","45678","L","1","500.0","500.0"
"DELIVERED","384931415630_1","2022-08-22","West Bengal ","FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLUE)","1101 blue","Semi Stitched","1","1749.0","1749.0"
"DELIVERED","923462757835_1","2022-08-22","punjab","FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work","5400 blue","Semi Stitched","1","1999.0","1999.0"
"DELIVERED","848334441754_1","2022-08-22","Punjab","FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work","5400 skyblue","Semi Stitched","1","1999.0","1999.0"
"RTO_COMPLETE","748208976472_1","2022-08-23","Jammu & Kashmir","Kalamkari print full flair narkali sut set","Kb 198","M","1","1400.0","1400.0"
"RTO_COMPLETE","933916764856_1","2022-08-23","Chandigarh","FIVESTAR wedding special occasions Lehengha choli with Dupata","6302 green","Semi Stitched","1","2299.0","2299.0"
"CANCELLED","623328510051_1","2022-08-23","Bihar"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"DELIVERED","426207937376_1","2022-08-23","Odisha","top & bottom set","akshar 1090","M","1","1400.0","1400.0"
"DELIVERED","295645979015_1","2022-08-24","Tamil Nadu","Kalamkari print full flair narkali sut set","Kb 198","M","1","1400.0","1400.0"
"DELIVERED","736602256273_1","2022-08-24","Gujarat","Stylish designer digital printed work lehenga choli with duppata ","921837737","Semi Stitched","1","1500.0","1500.0"
"DELIVERED","736602256273_2","2022-08-24","Gujarat","Stylish designer digital printed work lehenga choli with duppata ","932291795","Semi Stitched","1","1500.0","1500.0"
"DELIVERED","188317821806_1","2022-08-25","Telangana","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XXL","1","1368.0","1368.0"
"DELIVERED","640125783153_1","2022-08-25","Gujarat","Stylish designer digital printed work lehenga choli with duppata ","Dhk 1100","Semi Stitched","1","1500.0","1500.0"
"CANCELLED","383743812322_1","2022-08-25","Jharkhand","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XL","1","1400.0","1400.0"
"DELIVERED","313945993871_1","2022-08-25","Rajasthan","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","414.0","414.0"
"DELIVERED","715638312753_1","2022-08-25","Jammu & Kashmir","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","429.0","429.0"
"DELIVERED","263636176870_1","2022-08-25","Rajasthan","top & bottom set","akshar 1090","M","1","1400.0","1400.0"
"DELIVERED","139089555643_1","2022-08-25","Karnataka","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","429.0","429.0"
"RTO_COMPLETE","120234205854_1","2022-08-25","Kerala","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","429.0","429.0"
"DELIVERED","105706412059_1","2022-08-25","Maharashtra","top & bottom set","akshar 1090","M","1","1400.0","1400.0"
"RTO_LOCKED","269083456798_1","2022-08-25","Goa","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","429.0","429.0"
"CANCELLED","398702250845_1","2022-08-25","Rajasthan","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","414.0","414.0"
"CANCELLED","516987346340_1","2022-08-25","Jammu & Kashmir","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","429.0","429.0"
"RTO_LOCKED","717389427083_1","2022-08-25","Kerala","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","429.0","429.0"
"DELIVERED","590792915541_1","2022-08-25","Uttar Pradesh","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","429.0","429.0"
"DELIVERED","542703544972_1","2022-08-25","Himachal Pradesh","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","414.0","414.0"
"RTO_COMPLETE","296605193297_1","2022-08-25","Telangana","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","414.0","414.0"
"DELIVERED","963799194113_1","2022-08-25","Uttar Pradesh","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","429.0","429.0"
"RTO_COMPLETE","118121582107_1","2022-08-26","Mumbai","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","429.0","429.0"
"DELIVERED","928726855752_1","2022-08-26","Madhya Pradesh","FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work","5400 lavender","Semi Stitched","1","1999.0","1999.0"
"CANCELLED","621670207763_1","2022-08-26","West Bengal","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","429.0","429.0"
"DELIVERED","583140288760_1","2022-08-26","West Bengal","top & bottom set","akshar 1090","XL","1","1400.0","1400.0"
"DELIVERED","498649084066_1","2022-08-26","Kerala"," Georgette Silk Saree With Complete Heavy Sequence N Coding Multi Work N Banglori Silk Blouse","1265610464","Free Size","1","1500.0","1500.0"
"RTO_COMPLETE","485706928032_1","2022-08-26","Andhra Pradesh","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","414.0","414.0"
"DELIVERED","431854237562_1","2022-08-26","Punjab","Kurta Sets ","45678","XXXL","1","500.0","500.0"
"DELIVERED","874997211089_1","2022-08-27","Others","top & bottom set","akshar 1090","XL","1","1400.0","1400.0"
"CANCELLED","302103837288_1","2022-08-27","Andhra Pradesh","top & bottom set","akshar 1090","XXL","1","1400.0","1400.0"
"DELIVERED","265339595628_1","2022-08-27","Gujarat","Kurta Sets ","45678","M","1","468.0","468.0"
"DELIVERED","707632123402_1","2022-08-27","Karnataka","Kurta Sets ","95124932","XL","1","468.0","468.0"
"DELIVERED","237419587792_1","2022-08-27","Gujarat","Kurta Sets ","45678","M","1","468.0","468.0"
"CANCELLED","898495702259_1","2022-08-27","Tamil Nadu","Fancy embroidery sequence work gown with dupatta ","Dhk1094","XL","1","1461.0","1461.0"
"CANCELLED","475133679575_1","2022-08-27","Jammu & Kashmir","FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata","6320","Semi Stitched","1","1910.0","1910.0"
"DELIVERED","294779117929_1","2022-08-27","Kerala","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","429.0","429.0"
"DELIVERED","740854251861_1","2022-08-27","Chhattisgarh","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XXL","1","1400.0","1344.0"
"CANCELLED","799024162777_1","2022-08-28","West Bengal","Beautiful pure lakhnovi long kurta embroidery cotton thread work,sequence work ,flair plazoo and duppata","Kb 201","XXL","1","1500.0","1500.0"
"CANCELLED","740916316710_1","2022-08-28","Bihar","top & bottom set","akshar 1090","L","1","1400.0","1400.0"
"DELIVERED","397474434265_1","2022-08-28","Rajasthan","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","414.0","414.0"
"CANCELLED","687987764507_1","2022-08-28","Delhi","Kurta Sets ","45678","M","1","500.0","500.0"
"CANCELLED","277771506559_1","2022-08-28","Bihar","top & bottom set","akshar 1090","XL","1","1400.0","1400.0"
"DELIVERED","828865464829_1","2022-08-28","West Bengal","top & bottom set","akshar 1090","L","1","1400.0","1400.0"
"CANCELLED","855547223698_1","2022-08-28","Bihar","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XXL","1","1400.0","1344.0"
"DELIVERED","810704930357_1","2022-08-28","Jammu & Kashmir","Stylish navratri wear gown","Hk1464","XXL","1","1500.0","1350.0"
"DELIVERED","349165630963_1","2022-08-28","Uttarakhand","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","429.0","429.0"
"DELIVERED","533392281431_1","2022-08-28","Odisha","top & bottom set","akshar 1090","L","1","1400.0","1400.0"
"DELIVERED","676702704307_1","2022-08-28","Bihar","top & bottom set","akshar 1090","XXL","1","1400.0","1400.0"
"CANCELLED","817910898905_1","2022-08-28","Bihar","top & bottom set","akshar 1090","L","1","1400.0","1400.0"
"DELIVERED","654530604117_1","2022-08-28","Odisha","Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata","Ad 021","XL","1","1300.0","1300.0"
"CANCELLED","952025308658_1","2022-08-28","Andaman and Nicobar Islands","top & bottom set","akshar 1090","XXL","1","1400.0","1400.0"
"RTO_COMPLETE","543476848618_1","2022-08-28","Maharashtra","top & bottom set","akshar 1090","M","1","1368.0","1368.0"
"CANCELLED","929601676893_1","2022-08-28","Maharashtra","Stylish navratri wear gown","Hk1464","XXL","1","1500.0","1350.0"
"CANCELLED","878338919487_1","2022-08-29","Jharkhand","Dupatta Sets","Hk1436","XL","1","1400.0","1400.0"
"DELIVERED","755828660648_1","2022-08-29","Kerala","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","429.0","429.0"
"RTO_COMPLETE","781373357372_1","2022-08-29","Bihar","Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata","Ad 021","XL","1","1261.0","1261.0"
"CANCELLED","555002867665_1","2022-08-29","Rajasthan","Stylish designer digital printed work lehenga choli with duppata ","1502318399","Semi Stitched","1","1500.0","1500.0"
"RTO_COMPLETE","703072596386_1","2022-08-29","Uttar Pradesh","Fancy organza dress with kamar belt and hairbelt","Kd1166","M","1","1184.0","1184.0"
"DELIVERED","460748174495_1","2022-08-30","Uttar Pradesh","top & bottom set","akshar 1090","M","1","1400.0","1400.0"
"RTO_COMPLETE","355746559602_1","2022-08-30","Andhra Pradesh","Heavy faux georgette with embroidery work with moti latkan border with sleev  Dupatta Sets ","Ad 009 a","XL","1","1500.0","1500.0"
"DELIVERED","658416003246_1","2022-08-30","Chhattisgarh","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","429.0","429.0"
"DELIVERED","271046524562_1","2022-08-30","Delhi","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XL","1","1400.0","1400.0"
"DELIVERED","381809810413_1","2022-08-30","Jammu & Kashmir","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XL","1","1400.0","1400.0"
"DELIVERED","710010425387_1","2022-08-30","Maharashtra","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XXL","1","1400.0","1400.0"
"CANCELLED","338379679888_1","2022-08-30","Maharashtra","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XL","1","1400.0","1400.0"
"DELIVERED","796423327995_1","2022-08-30","Chhattisgarh","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XXL","1","1368.0","1368.0"
"DELIVERED","571369750119_1","2022-08-30","Punjab","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XL","1","1400.0","1400.0"
"DELIVERED","652915591650_1","2022-08-30","Kerala","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XXL","1","1400.0","1400.0"
"DELIVERED","922552445432_1","2022-08-30","Uttarakhand","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XL","1","1368.0","1368.0"
"CANCELLED","330275002150_1","2022-08-30","Tamil Nadu","Fancy embroidery sequence work gown with dupatta ","Dhk1094","XL","1","1461.0","1461.0"
"DELIVERED","910483967612_1","2022-08-30","Assam","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","429.0","429.0"
"DELIVERED","355129275575_1","2022-08-30","India","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XL","1","1368.0","1368.0"
"DELIVERED","624159941368_1","2022-08-31","Odisha","Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata","Ad 021","XXL","1","1300.0","1300.0"
"RTO_COMPLETE","469860092115_1","2022-08-31","Maharashtra","Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata","Ad 021","XL","1","1300.0","1300.0"
"DELIVERED","507323371165_1","2022-08-31","Karnataka","FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata","6320","Semi Stitched","1","1949.0","1949.0"
"CANCELLED","548021683292_1","2022-08-31","Kerala","Heavy faux georgette with embroidery work with moti latkan border with sleev  Dupatta Sets ","Ad 009 a","XL","1","1500.0","1500.0"
"RTO_COMPLETE","717468980947_1","2022-08-31","Haryana","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XL","1","1400.0","1400.0"
"RTO_COMPLETE","182637707929_1","2022-08-31","Jharkhand","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XXL","1","1368.0","1368.0"
"RTO_COMPLETE","765196624540_1","2022-08-31","Rajasthan","FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata","6320","Semi Stitched","1","1949.0","1949.0"
"CANCELLED","694787246193_1","2022-08-31","Telangana","Stylish navratri wear lehnga choli"," Dhk1121","Semi Stitched","1","1200.0","1200.0"
"DELIVERED","653631357267_1","2022-08-31","Haryana","FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata","6320","Semi Stitched","1","1949.0","1949.0"
"CANCELLED","812064549286_1","2022-08-31","West Bengal","top & bottom set","akshar 1090","XXL","1","1400.0","1400.0"
